rank,title,director,attrs,date,rating_num,rating_people
115,哈利·波特与火焰杯,迈克·内威尔 Mike Newell, 丹尼尔·雷德克里夫 Daniel Radclif,2005,8.8,805079
116,未麻的部屋,今敏 Satoshi Kon, 岩男润子 Junko Iwao / 松本梨香 Rica Matsu,1997,9.1,427547
117,重庆森林,王家卫 Kar Wai Wong, 林青霞 Brigitte Lin / 金城武 Takeshi K,1994,8.8,925849
118,借东西的小人阿莉埃蒂,米林宏昌 Hiromasa Yonebayashi, 志田未来 Mirai Shida / 神木,2010,8.9,630000
119,菊次郎的夏天,北野武 Takeshi Kitano, 北野武 Takeshi Kitano / 关口雄介 Yus,1999,8.9,675739
120,入殓师,泷田洋二郎 Yôjirô Takita, 本木雅弘 Masahiro Motoki ,2008,8.9,744809
121,断背山,李安 Ang Lee, 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake,2005,8.8,785303
122,剪刀手爱德华,蒂姆·波顿 Tim Burton, 约翰尼·德普 Johnny Depp / 薇诺娜·,1990,8.7,1123354
123,勇敢的心,梅尔·吉布森 Mel Gibson, 梅尔·吉布森 Mel Gibson / 苏菲·玛,1995,8.9,607112
124,时空恋旅人,理查德·柯蒂斯 Richard Curtis, 多姆纳尔·格里森 Domhnall Gl,2013,8.8,796921
125,驯龙高手,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,,2010,8.8,869151
126,消失的爱人,大卫·芬奇 David Fincher, 本·阿弗莱克 Ben Affleck / 罗莎蒙,2014,8.7,1077226
127,无人知晓,是枝裕和 Hirokazu Koreeda, 柳乐优弥 Yûya Yagira / 北浦爱,2004,9.1,374213
128,傲慢与偏见,乔·怀特 Joe Wright, 凯拉·奈特莉 Keira Knightley / 马修·,2005,8.7,941951
129,倩女幽魂,程小东 Siu-Tung Ching, 张国荣 Leslie Cheung / 王祖贤 Joey W,1987,8.8,838332
130,新世界,朴勋政 Hoon-jung Park, 李政宰 Jung-Jae Lee / 崔岷植 Min-sik,2013,8.9,530638
131,花样年华,王家卫 Kar Wai Wong, 张曼玉 Maggie Cheung / 梁朝伟 Tony Leu,2000,8.8,809279
132,玩具总动员3,李·昂克里奇 Lee Unkrich, 汤姆·汉克斯 Tom Hanks / 蒂姆·艾,2010,8.9,595355
133,一个叫欧维的男人决定去死,汉内斯·赫尔姆 Hannes Holm, 罗夫·拉斯加德 Rolf Lassgård,2015,8.9,572147
134,色，戒,李安 Ang Lee, 梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang ,2007,8.7,965950
135,完美的世界,克林特·伊斯特伍德 Clint Eastwood, 凯文·科斯特纳 Kevin Cos,1993,9.1,361542
136,怪兽电力公司,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman, 约,2001,8.8,773495
137,阳光灿烂的日子,姜文 Wen Jiang, 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,1994,8.8,698166
138,教父3,弗朗西斯·福特·科波拉 Francis Ford Coppola, 阿尔·帕西诺 A,1990,9.0,434571
139,小森林 夏秋篇,森淳一 Junichi Mori, 桥本爱 Ai Hashimoto / 三浦贵大 Takahir,2014,9.0,475335
140,天使爱美丽,让-皮埃尔·热内 Jean-Pierre Jeunet, 奥黛丽·塔图 Audrey Tau,2001,8.7,1023338
141,侧耳倾听,近藤喜文 Yoshifumi Kondo, 本名阳子 Youko Honna / 小林桂树 K,1995,8.9,522545
142,哪吒闹海,王树忱 Shuchen Wang / 严定宪 Dingxian Yan, 梁正晖 Zhenghui ,1979,9.2,309789
143,九品芝麻官,王晶 Jing Wong, 周星驰 Stephen Chow / 吴孟达 Man Tat Ng ,1994,8.8,797977
144,被解救的姜戈,昆汀·塔伦蒂诺 Quentin Tarantino, 杰米·福克斯 Jamie Foxx ,2012,8.8,695753
145,请以你的名字呼唤我,卢卡·瓜达尼诺 Luca Guadagnino, 艾米·汉莫 Armie Hammer ,2017,8.8,828223
146,幸福终点站,史蒂文·斯皮尔伯格 Steven Spielberg, 汤姆·汉克斯 Tom Hanks,2004,8.8,644978
147,釜山行,延尚昊 Sang-ho Yeon, 孔刘 Yoo Gong / 郑有美 Yu-mi Jung / 马,2016,8.6,1355346
148,神偷奶爸,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud, ,2010,8.7,1050513
149,小森林 冬春篇,森淳一 Junichi Mori, 桥本爱 Ai Hashimoto / 三浦贵大 Takahir,2015,9.0,422319
150,喜宴,李安 Ang Lee, 赵文瑄 Winston Chao / 归亚蕾 Ya-lei Kuei / 郎,1993,9.0,434277
151,萤火之森,大森贵弘 Takahiro Omori, 佐仓绫音 Ayane Sakura / 内山昂辉 K,2011,8.8,614053
152,告白,中岛哲也 Tetsuya Nakashima, 松隆子 Takako Matsu / 冈田将生 ,2010,8.8,746621
153,玛丽和麦克斯,亚当·艾略特 Adam Elliot, 托妮·科莱特 Toni Collette / 菲利,2009,9.0,472648
154,七武士,黑泽明 Akira Kurosawa, 三船敏郎 Toshirô Mifune / 志村乔 ,1954,9.3,237148
155,头号玩家,史蒂文·斯皮尔伯格 Steven Spielberg, 泰伊·谢里丹 Tye Sheri,2018,8.6,1522498
156,模仿游戏,莫滕·泰杜姆 Morten Tyldum, 本尼迪克特·康伯巴奇 Benedict C,2014,8.8,722764
157,惊魂记,阿尔弗雷德·希区柯克 Alfred Hitchcock, 安东尼·博金斯 Antho,1960,9.0,358614
158,大鱼,蒂姆·波顿 Tim Burton, 伊万·麦克格雷格 Ewan McGregor / 阿,2003,8.8,629242
159,机器人之梦,巴勃罗·贝格尔 Pablo Berger, 伊万·拉班达 Ivan Labanda,2023,9.1,444308
160,心灵奇旅,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers, 杰米·,2020,8.7,1148674
161,背靠背，脸对脸,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang, 牛振华 Zhenhua N,1994,9.5,181507
162,血战钢锯岭,梅尔·吉布森 Mel Gibson, 安德鲁·加菲尔德 Andrew Garfield ,2016,8.7,862664
163,射雕英雄传之东成西就,刘镇伟 Jeffrey Lau, 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri,1993,8.7,720497
164,你的名字。,新海诚 Makoto Shinkai, 神木隆之介 Ryûnosuke Kamiki / 上,2016,8.5,1599595
165,我是山姆,杰茜·尼尔森 Jessie Nelson, Sean Penn / Dakota Fanning / Mi,2001,9.0,378379
166,阳光姐妹淘,姜炯哲 Hyeong-Cheol Kang, 沈恩京 Eun-kyung Shim / 闵孝琳 Hy,2011,8.8,640805
167,恐怖直播,金秉祐 Byeong-woo Kim, 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y,2013,8.7,731258
168,黑客帝国3：矩阵革命,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,,2003,8.8,499495
169,末路狂花,雷德利·斯科特 Ridley Scott, 吉娜·戴维斯 Geena Davis / 苏,1991,9.0,352495
170,高山下的花环,谢晋 Jin Xie, 吕晓禾 Xiaohe Lü / 唐国强 Guoqiang Tang / 何,,9.5,161274
171,小丑,托德·菲利普斯 Todd Phillips, 杰昆·菲尼克斯 Joaquin Phoeni,2019,8.7,1129034
172,谍影重重3,保罗·格林格拉斯 Paul Greengrass, 马特·达蒙 Matt Damon ,2007,8.9,473304
173,三块广告牌,马丁·麦克唐纳 Martin McDonagh, 弗兰西斯·麦克多蒙德 France,2017,8.7,923828
174,电锯惊魂,詹姆斯·温 James Wan, 雷·沃纳尔 Leigh Whannell / 加利·艾,2004,8.7,616288
175,无间道2,刘伟强 Andrew Lau / 麦兆辉 Alan Mak, 陈冠希 Edison Chen ,2003,8.8,570781
176,达拉斯买家俱乐部,让-马克·瓦雷 Jean-Marc Vallée, 马修·麦康纳 Matthew McCon,2013,8.8,508596
177,疯狂原始人,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,,2013,8.7,924834
178,绿里奇迹,弗兰克·德拉邦特 Frank Darabont, 汤姆·汉克斯 Tom Hanks ,1999,8.9,390521
179,爱在午夜降临前,理查德·林克莱特 Richard Linklater, 伊桑·霍克 Ethan Hawke ,2013,8.9,477027
180,雨中曲,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly, 吉恩·,1952,9.1,270643
181,疯狂的石头,宁浩 Hao Ning, 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,2006,8.6,930129
182,2001太空漫游,斯坦利·库布里克 Stanley Kubrick, 凯尔·杜拉 Keir Dullea ,1968,8.9,399490
183,海街日记,是枝裕和 Hirokazu Koreeda, 绫濑遥 Haruka Ayase / 长泽雅美 M,2015,8.8,524393
184,风之谷,宫崎骏 Hayao Miyazaki, 岛本须美 Sumi Shimamoto / 松田洋治 Y,1984,8.9,395192
185,上帝之城,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,,2002,9.0,334847
186,心迷宫,忻钰坤 Yukun Xin, 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ,2014,8.7,621430
187,英雄本色,吴宇森 John Woo, 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国,1986,8.6,609152
188,记忆碎片,克里斯托弗·诺兰 Christopher Nolan, 盖·皮尔斯 Guy Pearce ,2000,8.7,673153
189,纵横四海,吴宇森 John Woo, 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung,1991,8.8,482651
190,无敌破坏王,瑞奇·莫尔 Rich Moore, 约翰·C·赖利 John C. Reilly / 萨拉,2012,8.7,614909
191,卢旺达饭店,特瑞·乔治 Terry George, 唐·钱德尔 Don Cheadle / 苏菲·奥,2004,8.9,368849
192,牯岭街少年杀人事件,杨德昌 Edward Yang, 张震 Chen Chang / 杨静怡 Lisa Yang / 张,1991,8.9,372386
193,恐怖游轮,克里斯托弗·史密斯 Christopher Smith, 梅利莎·乔治 Melissa ,2009,8.5,996155
194,东京教父,今敏 Satoshi Kon, 江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume,2003,9.0,293508
195,小偷家族,是枝裕和 Hirokazu Koreeda, 中川雅也 Lily Franky / 安藤樱 Sa,2018,8.7,898526
196,魔女宅急便,宫崎骏 Hayao Miyazaki, 高山南 Minami Takayama / 佐久间玲 Re,1989,8.7,527541
197,冰川时代,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,,2002,8.7,688735
198,芙蓉镇,谢晋 Jin Xie, 刘晓庆 Xiaoqing Liu / 姜文 Wen Jiang / 郑在石,1987,9.3,191738
199,忠犬八公物语,神山征二郎 Seijirô Kôyama, 仲代达矢 Tatsuya Nakadai ,1987,9.2,219794
200,岁月神偷,罗启锐 Alex Law, 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍,2010,8.7,614322
201,遗愿清单,罗伯·莱纳 Rob Reiner, 杰克·尼科尔森 Jack Nicholson / 摩根,2007,8.7,542034
202,荒蛮故事,达米安·斯兹弗隆 Damián Szifron, 达里奥·葛兰帝内提 Darío,2014,8.7,520837
203,大佛普拉斯,黄信尧 Hsin-yao Huang, 庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh,2017,8.7,557674
204,源代码,邓肯·琼斯 Duncan Jones, 杰克·吉伦哈尔 Jake Gyllenhaal ,2011,8.6,930896
205,花束般的恋爱,土井裕泰 Nobuhiro Doi, 菅田将晖 Masaki Suda / 有村架纯 Kasu,2021,8.6,835441
206,白日梦想家,本·斯蒂勒 Ben Stiller, 本·斯蒂勒 Ben Stiller / 克里斯汀·,2013,8.6,654721
207,爱乐之城,达米恩·查泽雷 Damien Chazelle, 瑞恩·高斯林 Ryan Gosling ,2016,8.4,1127855
